State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Haryana,FARIDABAD,Cotton(lint),2001-02,Kharif,52.0,Hectare,,Bales,0.0
Haryana,FARIDABAD,Cotton(lint),2002-03,Kharif,236.0,Hectare,0.0,Bales,0.0
Haryana,FARIDABAD,Cotton(lint),2003-04,Kharif,105.0,Hectare,0.0,Bales,0.0
Haryana,FATEHABAD,Cotton(lint),2001-02,Kharif,114880.0,Hectare,136000.0,Bales,1.1838440111420614
Haryana,FATEHABAD,Cotton(lint),2002-03,Kharif,80297.0,Hectare,170000.0,Bales,2.11714011731447
Haryana,FATEHABAD,Cotton(lint),2003-04,Kharif,87142.0,Hectare,268000.0,Bales,3.075440086295931
Haryana,GURGAON,Cotton(lint),2001-02,Kharif,183.0,Hectare,,Bales,0.0
Haryana,GURGAON,Cotton(lint),2002-03,Kharif,207.0,Hectare,0.0,Bales,0.0
Haryana,GURGAON,Cotton(lint),2003-04,Kharif,339.0,Hectare,0.0,Bales,0.0
Haryana,HISAR,Cotton(lint),2001-02,Kharif,166958.0,Hectare,175000.0,Bales,1.0481678026809138
Haryana,HISAR,Cotton(lint),2002-03,Kharif,142580.0,Hectare,330000.0,Bales,2.314490110814981
Haryana,HISAR,Cotton(lint),2003-04,Kharif,141674.0,Hectare,354000.0,Bales,2.498694185242176
Haryana,JHAJJAR,Cotton(lint),2001-02,Kharif,1261.0,Hectare,2000.0,Bales,1.5860428231562251
Haryana,JHAJJAR,Cotton(lint),2002-03,Kharif,3657.0,Hectare,4000.0,Bales,1.0937927262783702
Haryana,JHAJJAR,Cotton(lint),2003-04,Kharif,3397.0,Hectare,8000.0,Bales,2.355019134530468
Haryana,JIND,Cotton(lint),2001-02,Kharif,46826.0,Hectare,77000.0,Bales,1.6443855977448427
Haryana,JIND,Cotton(lint),2002-03,Kharif,37753.0,Hectare,49000.0,Bales,1.2979100998596138
Haryana,JIND,Cotton(lint),2003-04,Kharif,43210.0,Hectare,111000.0,Bales,2.5688498032862763
Haryana,KAITHAL,Cotton(lint),2001-02,Kharif,1110.0,Hectare,1000.0,Bales,0.9009009009009009
Haryana,KAITHAL,Cotton(lint),2002-03,Kharif,1312.0,Hectare,2000.0,Bales,1.524390243902439
Haryana,KAITHAL,Cotton(lint),2003-04,Kharif,1673.0,Hectare,5000.0,Bales,2.9886431560071727
Haryana,KARNAL,Cotton(lint),2001-02,Kharif,64.0,Hectare,,Bales,0.0
Haryana,KARNAL,Cotton(lint),2003-04,Kharif,46.0,Hectare,0.0,Bales,0.0
Haryana,KURUKSHETRA,Cotton(lint),2001-02,Kharif,1.0,Hectare,,Bales,0.0
Haryana,KURUKSHETRA,Cotton(lint),2002-03,Kharif,1.0,Hectare,0.0,Bales,0.0
Haryana,KURUKSHETRA,Cotton(lint),2003-04,Kharif,1.0,Hectare,0.0,Bales,0.0
Haryana,MAHENDRAGARH,Cotton(lint),2001-02,Kharif,1683.0,Hectare,5000.0,Bales,2.9708853238265003
Haryana,MAHENDRAGARH,Cotton(lint),2002-03,Kharif,3613.0,Hectare,5000.0,Bales,1.3838915029061722
Haryana,MAHENDRAGARH,Cotton(lint),2003-04,Kharif,5432.0,Hectare,18000.0,Bales,3.313696612665685
Haryana,PANCHKULA,Cotton(lint),2001-02,Kharif,19.0,Hectare,,Bales,0.0
Haryana,PANCHKULA,Cotton(lint),2002-03,Kharif,16.0,Hectare,0.0,Bales,0.0
Haryana,PANCHKULA,Cotton(lint),2003-04,Kharif,11.0,Hectare,0.0,Bales,0.0
Haryana,PANIPAT,Cotton(lint),2001-02,Kharif,41.0,Hectare,,Bales,0.0
Haryana,PANIPAT,Cotton(lint),2002-03,Kharif,72.0,Hectare,0.0,Bales,0.0
Haryana,PANIPAT,Cotton(lint),2003-04,Kharif,222.0,Hectare,0.0,Bales,0.0
Haryana,REWARI,Cotton(lint),2001-02,Kharif,1777.0,Hectare,3000.0,Bales,1.6882386043894204
Haryana,REWARI,Cotton(lint),2002-03,Kharif,2103.0,Hectare,3000.0,Bales,1.4265335235378032
Haryana,REWARI,Cotton(lint),2003-04,Kharif,4318.0,Hectare,12000.0,Bales,2.7790643816581753
Haryana,ROHTAK,Cotton(lint),2001-02,Kharif,13729.0,Hectare,10000.0,Bales,0.7283851700779372
Haryana,ROHTAK,Cotton(lint),2002-03,Kharif,13675.0,Hectare,17000.0,Bales,1.243144424131627
Haryana,ROHTAK,Cotton(lint),2003-04,Kharif,11472.0,Hectare,20000.0,Bales,1.7433751743375174
Haryana,SIRSA,Cotton(lint),2001-02,Kharif,215369.0,Hectare,232000.0,Bales,1.0772209556621426
Haryana,SIRSA,Cotton(lint),2002-03,Kharif,166003.0,Hectare,368000.0,Bales,2.2168274067336133
Haryana,SIRSA,Cotton(lint),2003-04,Kharif,163128.0,Hectare,488000.0,Bales,2.9915158648423326
Haryana,SONIPAT,Cotton(lint),2001-02,Kharif,818.0,Hectare,1000.0,Bales,1.2224938875305624
Haryana,SONIPAT,Cotton(lint),2002-03,Kharif,2157.0,Hectare,6000.0,Bales,2.7816411682892905
Haryana,SONIPAT,Cotton(lint),2003-04,Kharif,1952.0,Hectare,2000.0,Bales,1.0245901639344261
Haryana,YAMUNANAGAR,Cotton(lint),2001-02,Kharif,5.0,Hectare,,Bales,0.0
Haryana,YAMUNANAGAR,Cotton(lint),2002-03,Kharif,2.0,Hectare,0.0,Bales,0.0
Haryana,YAMUNANAGAR,Cotton(lint),2003-04,Kharif,3.0,Hectare,0.0,Bales,0.0
Haryana,AMBALA,Dry chillies,2001-02,Whole Year,189.0,Hectare,200.0,Tonnes,1.0582010582010581
Haryana,AMBALA,Dry chillies,2003-04,Whole Year,208.0,Hectare,200.0,Tonnes,0.9615384615384616
Haryana,BHIWANI,Dry chillies,2001-02,Whole Year,126.0,Hectare,100.0,Tonnes,0.7936507936507936
